Atom,Support,Comment
,,
Root Window Properties,,
,,
_NET_SUPPORTED,yes,
_NET_CLIENT_LIST,yes,
_NET_CLIENT_LIST_STACKING,yes,
_NET_NUMBER_OF_DESKTOPS,yes,
_NET_DESKTOP_GEOMETRY,yes,Size of screen. Do not support large virtual desktops.
_NET_DESKTOP_VIEWPORT,yes,"(0, 0) Do not support large virtual desktops"
_NET_CURRENT_DESKTOP,yes,
_NET_DESKTOP_NAMES,yes,
_NET_ACTIVE_WINDOW,yes,
_NET_WORKAREA,yes,
_NET_SUPPORTING_WM_CHECK,yes,
_NET_VIRTUAL_ROOTS,no,Fluxbox do not use virtual desktop windows.
_NET_DESKTOP_LAYOUT,no,"Set by a Pager, not by the Window Manager"
_NET_SHOWING_DESKTOP,no,
_NET_CLOSE_WINDOW,yes,
_NET_MOVERESIZE_WINDOW,yes,
_NET_WM_MOVERESIZE,yes,
_NET_WM_MOVERESIZE_SIZE_TOPLEFT,yes,
_NET_WM_MOVERESIZE_SIZE_TOP,yes,
_NET_WM_MOVERESIZE_SIZE_TOPRIGHT,yes,
_NET_WM_MOVERESIZE_SIZE_RIGHT,yes,
_NET_WM_MOVERESIZE_SIZE_BOTTOMRIGHT,yes,
_NET_WM_MOVERESIZE_SIZE_BOTTOM,yes,
_NET_WM_MOVERESIZE_SIZE_BOTTOMLEFT,yes,
_NET_WM_MOVERESIZE_SIZE_LEFT,yes,
_NET_WM_MOVERESIZE_MOVE,yes,
_NET_WM_MOVERESIZE_SIZE_KEYBOARD,yes,
_NET_WM_MOVERESIZE_MOVE_KEYBOARD,yes,
_NET_RESTACK_WINDOW,yes,
_NET_REQUEST_FRAME_EXTENTS,no,
,,
Application Window Properties,,
,,
_NET_WM_NAME,yes,
_NET_WM_VISIBLE_NAME,yes,
_NET_WM_ICON_NAME,yes,
_NET_WM_VISIBLE_ICON_NAME,no,fluxbox does not currently ever manipulate icon names
_NET_WM_DESKTOP,yes,
_NET_WM_WINDOW_TYPE,yes,
_NET_WM_WINDOW_TYPE_DESKTOP,yes,
_NET_WM_WINDOW_TYPE_DOCK,yes,
_NET_WM_WINDOW_TYPE_TOOLBAR,no,
_NET_WM_WINDOW_TYPE_MENU,no,
_NET_WM_WINDOW_TYPE_UTILITY,no,
_NET_WM_WINDOW_TYPE_SPLASH,yes,
_NET_WM_WINDOW_TYPE_DIALOG,yes,
_NET_WM_WINDOW_TYPE_NORMAL,yes,
_NET_WM_STATE,yes,
_NET_WM_STATE_MODAL,yes,
_NET_WM_STATE_STICKY,yes,
_NET_WM_STATE_MAXIMIZED_VERT,yes,
_NET_WM_STATE_MAXIMIZED_HORZ,yes,
_NET_WM_STATE_SHADED,yes,
_NET_WM_STATE_SKIP_TASKBAR,yes,
_NET_WM_STATE_SKIP_PAGER,no,Used by pagers not Window Manager.
_NET_WM_STATE_HIDDEN,yes,
_NET_WM_STATE_FULLSCREEN,yes,
_NET_WM_STATE_ABOVE,yes,
_NET_WM_STATE_BELOW,yes,
_NET_WM_STATE_DEMANDS_ATTENTION,yes,
_NET_WM_ALLOWED_ACTIONS,yes,
_NET_WM_ACTION_MOVE,yes,
_NET_WM_ACTION_RESIZE,yes,
_NET_WM_ACTION_MINIMIZE,yes,
_NET_WM_ACTION_SHADE,yes,
_NET_WM_ACTION_STICK,yes,
_NET_WM_ACTION_MAXIMIZE_HORZ,yes,
_NET_WM_ACTION_MAXIMIZE_VERT,yes,
_NET_WM_ACTION_FULLSCREEN,yes,
_NET_WM_ACTION_CHANGE_DESKTOP,yes,
_NET_WM_ACTION_CLOSE,yes,
_NET_WM_STRUT,yes,
_NET_WM_STRUT_PARTIAL,no,
_NET_WM_ICON_GEOMETRY,no,
_NET_WM_ICON,no,
_NET_WM_PID,no,
_NET_WM_HANDLED_ICONS,no,
_NET_WM_USER_TIME,no,
_NET_FRAME_EXTENTS,no,
,,
Window Manager Protocols,,
,,
_NET_WM_PING,no,
_NET_WM_SYNC_REQUEST,no,
,,
,,
Number of atoms:,78,
